,ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,DS,Present in List
186,127,Word Ladder,29.60%,Medium,2.045126318, https://leetcode.com/problems/word-ladder,,Yes
187,91,Decode Ways,24.70%,Medium,2.043561546, https://leetcode.com/problems/decode-ways,,No
188,215,Kth Largest Element in an Array,55.40%,Medium,2.024566185, https://leetcode.com/problems/kth-largest-element-in-an-array,,Yes
189,946,Validate Stack Sequences,61.90%,Medium,2.01891517, https://leetcode.com/problems/validate-stack-sequences,,No
190,293,Flip Game,60.70%,Easy,2.004967899, https://leetcode.com/problems/flip-game,,No
191,33,Search in Rotated Sorted Array,34.50%,Medium,1.982840493, https://leetcode.com/problems/search-in-rotated-sorted-array,,Yes
192,459,Repeated Substring Pattern,42.20%,Easy,1.981281171, https://leetcode.com/problems/repeated-substring-pattern,,No
193,11,Container With Most Water,50.80%,Medium,1.977087061, https://leetcode.com/problems/container-with-most-water,,No
194,1032,Stream of Characters,48.30%,Hard,1.974462778, https://leetcode.com/problems/stream-of-characters,,No
195,334,Increasing Triplet Subsequence,40.00%,Medium,1.96786769, https://leetcode.com/problems/increasing-triplet-subsequence,,No
196,44,Wildcard Matching,24.70%,Hard,1.957959668, https://leetcode.com/problems/wildcard-matching,,Yes
197,325,Maximum Size Subarray Sum Equals k,46.80%,Medium,1.957338845, https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,,No
198,497,Random Point in Non-overlapping Rectangles,37.80%,Medium,1.957330687, https://leetcode.com/problems/random-point-in-non-overlapping-rectangles,,No
199,817,Linked List Components,57.30%,Medium,1.951763824, https://leetcode.com/problems/linked-list-components,,No
200,286,Walls and Gates,54.50%,Medium,1.948761543, https://leetcode.com/problems/walls-and-gates,,No
201,1048,Longest String Chain,54.70%,Medium,1.94409311, https://leetcode.com/problems/longest-string-chain,,Yes
202,138,Copy List with Random Pointer,36.40%,Medium,1.941330735, https://leetcode.com/problems/copy-list-with-random-pointer,,Yes
203,815,Bus Routes,42.50%,Hard,1.938350463, https://leetcode.com/problems/bus-routes,,No
204,772,Basic Calculator III,41.30%,Hard,1.931331946, https://leetcode.com/problems/basic-calculator-iii,,No
205,173,Binary Search Tree Iterator,56.60%,Medium,1.911466705, https://leetcode.com/problems/binary-search-tree-iterator,Tree,Yes
206,150,Evaluate Reverse Polish Notation,36.30%,Medium,1.90120416, https://leetcode.com/problems/evaluate-reverse-polish-notation,,No
207,743,Network Delay Time,45.00%,Medium,1.89546745, https://leetcode.com/problems/network-delay-time,,Yes
208,53,Maximum Subarray,46.50%,Easy,1.89351767, https://leetcode.com/problems/maximum-subarray,,Yes
209,752,Open the Lock,51.80%,Medium,1.887145074, https://leetcode.com/problems/open-the-lock,,No
210,130,Surrounded Regions,28.10%,Medium,1.881638133, https://leetcode.com/problems/surrounded-regions,,Yes
211,871,Minimum Number of Refueling Stops,31.40%,Hard,1.872628965, https://leetcode.com/problems/minimum-number-of-refueling-stops,,No
212,155,Min Stack,44.50%,Easy,1.872232334, https://leetcode.com/problems/min-stack,,Yes
213,685,Redundant Connection II,32.40%,Hard,1.870982265, https://leetcode.com/problems/redundant-connection-ii,,No
214,529,Minesweeper,59.10%,Medium,1.867966078, https://leetcode.com/problems/minesweeper,,No
215,800,Similar RGB Color,61.40%,Easy,1.864784604, https://leetcode.com/problems/similar-rgb-color,,No
216,1240,Tiling a Rectangle with the Fewest Squares,50.10%,Hard,1.864330162, https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares,,No
217,407,Trapping Rain Water II,42.40%,Hard,1.859058305, https://leetcode.com/problems/trapping-rain-water-ii,,No
218,168,Excel Sheet Column Title,31.10%,Easy,1.849824766, https://leetcode.com/problems/excel-sheet-column-title,,No
219,411,Minimum Unique Word Abbreviation,36.30%,Hard,1.843584537, https://leetcode.com/problems/minimum-unique-word-abbreviation,,No
220,161,One Edit Distance,32.30%,Medium,1.843491264, https://leetcode.com/problems/one-edit-distance,,No
221,427,Construct Quad Tree,61.40%,Medium,1.830397262, https://leetcode.com/problems/construct-quad-tree,,No
222,41,First Missing Positive,32.00%,Hard,1.828463009, https://leetcode.com/problems/first-missing-positive,,No
223,801,Minimum Swaps To Make Sequences Increasing,38.90%,Medium,1.813962288, https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,,No
224,428,Serialize and Deserialize N-ary Tree,59.40%,Hard,1.812637054, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,,No
225,498,Diagonal Traverse,48.20%,Medium,1.80736041, https://leetcode.com/problems/diagonal-traverse,,No
226,307,Range Sum Query - Mutable,34.60%,Medium,1.801548388, https://leetcode.com/problems/range-sum-query-mutable,,No
227,37,Sudoku Solver,43.60%,Hard,1.792525107, https://leetcode.com/problems/sudoku-solver,,Yes
228,324,Wiggle Sort II,29.90%,Medium,1.786845454, https://leetcode.com/problems/wiggle-sort-ii,,No
229,22,Generate Parentheses,62.70%,Medium,1.775789087, https://leetcode.com/problems/generate-parentheses,,Yes
230,853,Car Fleet,42.30%,Medium,1.774706681, https://leetcode.com/problems/car-fleet,,No
231,475,Heaters,33.10%,Easy,1.76649284, https://leetcode.com/problems/heaters,,No
232,463,Island Perimeter,65.70%,Easy,1.766239595, https://leetcode.com/problems/island-perimeter,,No
233,486,Predict the Winner,47.90%,Medium,1.762174531, https://leetcode.com/problems/predict-the-winner,,No
234,708,Insert into a Sorted Circular Linked List,31.60%,Medium,1.751377132, https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,,No
235,855,Exam Room,43.10%,Medium,1.749771774, https://leetcode.com/problems/exam-room,,No
236,591,Tag Validator,34.30%,Hard,1.746908903, https://leetcode.com/problems/tag-validator,,No
237,1197,Minimum Knight Moves,36.10%,Medium,1.742196588, https://leetcode.com/problems/minimum-knight-moves,,No
238,212,Word Search II,34.90%,Hard,1.717993911, https://leetcode.com/problems/word-search-ii,,No
239,684,Redundant Connection,57.40%,Medium,1.702040039, https://leetcode.com/problems/redundant-connection,,No
240,370,Range Addition,62.80%,Medium,1.700217503, https://leetcode.com/problems/range-addition,,No
241,250,Count Univalue Subtrees,52.00%,Medium,1.698353993, https://leetcode.com/problems/count-univalue-subtrees,Tree,No
242,337,House Robber III,50.60%,Medium,1.693179942, https://leetcode.com/problems/house-robber-iii,Tree,No
243,241,Different Ways to Add Parentheses,55.20%,Medium,1.67934036, https://leetcode.com/problems/different-ways-to-add-parentheses,,No
244,1145,Binary Tree Coloring Game,51.20%,Medium,1.679180077, https://leetcode.com/problems/binary-tree-coloring-game,Tree,No
245,769,Max Chunks To Make Sorted,54.80%,Medium,1.664103441, https://leetcode.com/problems/max-chunks-to-make-sorted,,No
246,266,Palindrome Permutation,61.90%,Easy,1.657520112, https://leetcode.com/problems/palindrome-permutation,,No
247,392,Is Subsequence,49.20%,Easy,1.652592724, https://leetcode.com/problems/is-subsequence,,No
248,302,Smallest Rectangle Enclosing Black Pixels,51.60%,Hard,1.6453853, https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels,,No
